nb_init_infected,density_ref_contact,init_all_ages_successful_contact_rate_human,init_all_ages_factor_contact_rate_asymptomatic,init_all_ages_proportion_asymptomatic,init_all_ages_proportion_hospitalisation,init_all_ages_proportion_icu,init_all_ages_proportion_dead_symptomatic,nb_dead,nb_recovered,nb_susceptibles,nb_infectious,nb_infected,step_max_peak,step_end_epidemiology
2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870646,143365,0,0,0,184,1248
49219,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870737,143274,0,0,0,138,1248
2345,32.96875,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870506,143505,0,0,0,251,1488
2345,140.15625,0.39084375,0.54678125,0.14134375,0.92103125,0.79628125,0.67153125,870754,143257,0,0,0,200,1296
2345,140.15625,0.70271875,0.95221875,0.14134375,0.92103125,0.79628125,0.67153125,870681,143330,0,0,0,159,1416
2345,140.15625,0.70271875,0.54678125,0.45321875,0.92103125,0.79628125,0.67153125,554499,459512,0,0,0,179,1272
2345,140.15625,0.70271875,0.54678125,0.14134375,0.98340625,0.79628125,0.67153125,870634,143377,0,0,0,180,1368
2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.98340625,0.67153125,870708,143303,0,0,0,178,1248
2345,140.15625,0.70271875,0.54678125,0.14134375,0.92103125,0.79628125,0.11015625,143868,870143,0,0,0,177,1200
2345,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91639,922372,0,0,0,254,1272
49219,140.15625,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91592,922419,0,0,0,137,1200
49219,32.96875,0.70271875,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91596,922415,0,0,0,162,1200
49219,32.96875,0.39084375,0.54678125,0.45321875,0.98340625,0.98340625,0.11015625,91608,922403,0,0,0,226,1320
49219,32.96875,0.39084375,0.95221875,0.14134375,0.98340625,0.98340625,0.11015625,143875,870136,0,0,0,201,1296
49219,32.96875,0.39084375,0.95221875,0.45321875,0.92103125,0.98340625,0.11015625,91631,922380,0,0,0,200,1392
49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.79628125,0.11015625,91639,922372,0,0,0,201,1248
49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.67153125,554390,459621,0,0,0,201,1272
49219,32.96875,0.39084375,0.95221875,0.45321875,0.98340625,0.98340625,0.11015625,91615,922396,0,0,0,203,1080
27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94399,919612,0,0,0,234,1344
24219,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94371,919640,0,0,0,228,1584
27344,277.96875,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94327,919684,0,0,0,250,1296
27344,385.15625,0.88984375,0.04778125,0.64034375,0.42203125,0.29728125,0.17253125,94465,919546,0,0,0,179,1248
27344,385.15625,0.20371875,0.45321875,0.64034375,0.42203125,0.29728125,0.17253125,94286,919725,0,0,0,159,1176
27344,385.15625,0.20371875,0.04778125,0.95221875,0.42203125,0.29728125,0.17253125,12573,1001438,0,0,0,278,1248
27344,385.15625,0.20371875,0.04778125,0.64034375,0.48440625,0.29728125,0.17253125,94421,919590,0,0,0,230,1656
27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.48440625,0.17253125,94323,919688,0,0,0,225,1320
27344,385.15625,0.20371875,0.04778125,0.64034375,0.42203125,0.29728125,0.60915625,333522,680489,0,0,0,226,1248
27344,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44361,969650,0,0,0,133,1152
24219,385.15625,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44227,969784,0,0,0,128,1128
24219,277.96875,0.20371875,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44310,969701,0,0,0,179,1272
24219,277.96875,0.88984375,0.04778125,0.95221875,0.48440625,0.48440625,0.60915625,44398,969613,0,0,0,209,1248
24219,277.96875,0.88984375,0.45321875,0.64034375,0.48440625,0.48440625,0.60915625,333325,680686,0,0,0,136,1488
24219,277.96875,0.88984375,0.45321875,0.95221875,0.42203125,0.48440625,0.60915625,44269,969742,0,0,0,133,1200
24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.29728125,0.60915625,44309,969702,0,0,0,134,1152
24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.17253125,12537,1001474,0,0,0,131,1248
24219,277.96875,0.88984375,0.45321875,0.95221875,0.48440625,0.48440625,0.60915625,44154,969857,0,0,0,136,1392
39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70667,943344,0,0,0,205,1320
11720,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70618,943393,0,0,0,226,1272
39844,400.46875,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70644,943367,0,0,0,106,1152
39844,17.65625,0.64034375,0.79628125,0.88984375,0.17253125,0.54678125,0.42203125,70684,943327,0,0,0,212,1248
39844,17.65625,0.95221875,0.20371875,0.88984375,0.17253125,0.54678125,0.42203125,70579,943432,0,0,0,273,1224
39844,17.65625,0.95221875,0.79628125,0.20371875,0.17253125,0.54678125,0.42203125,511159,502852,0,0,0,182,1224
39844,17.65625,0.95221875,0.79628125,0.88984375,0.73390625,0.54678125,0.42203125,70701,943310,0,0,0,206,1512
39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.23490625,0.42203125,70817,943194,0,0,0,204,1176
39844,17.65625,0.95221875,0.79628125,0.88984375,0.17253125,0.54678125,0.35965625,60306,953705,0,0,0,186,1416
39844,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435669,578342,0,0,0,136,1128
11720,17.65625,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435639,578372,0,0,0,300,1296
11720,400.46875,0.95221875,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435613,578398,0,0,0,154,1272
11720,400.46875,0.64034375,0.79628125,0.20371875,0.73390625,0.23490625,0.35965625,435543,578468,0,0,0,125,1272
11720,400.46875,0.64034375,0.20371875,0.88984375,0.73390625,0.23490625,0.35965625,60248,953763,0,0,0,159,1272
11720,400.46875,0.64034375,0.20371875,0.20371875,0.17253125,0.23490625,0.35965625,435611,578400,0,0,0,146,1176
11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.54678125,0.35965625,435572,578439,0,0,0,159,1200
11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.42203125,511143,502868,0,0,0,160,1104
11720,400.46875,0.64034375,0.20371875,0.20371875,0.73390625,0.23490625,0.35965625,435600,578411,0,0,0,153,1464
14844,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617756,396255,0,0,0,177,1296
36719,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617601,396410,0,0,0,155,1224
14844,155.46875,0.45321875,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617878,396133,0,0,0,180,1584
14844,262.65625,0.14134375,0.29728125,0.39084375,0.67153125,0.04778125,0.92103125,617772,396239,0,0,0,227,1248
14844,262.65625,0.45321875,0.70271875,0.39084375,0.67153125,0.04778125,0.92103125,617431,396580,0,0,0,138,1248
14844,262.65625,0.45321875,0.29728125,0.70271875,0.67153125,0.04778125,0.92103125,301451,712560,0,0,0,160,1200
14844,262.65625,0.45321875,0.29728125,0.39084375,0.23490625,0.04778125,0.92103125,617730,396281,0,0,0,169,1128
14844,262.65625,0.45321875,0.29728125,0.39084375,0.67153125,0.73390625,0.92103125,617552,396459,0,0,0,160,1416
